Custo (R$);Descrição da Alternativa;Município;Nome do Projeto;Número do Documento;Responsável
30826693.00;A conexão do USUÁRIO à rede de distribuição da EDP, quando considerado individualmente, faz-se-à na tensão 13.8 kV, alimentador BSA02 da subestação Barra Do Sahy, com a demanda 400 kW.;ARACRUZ;ADUFERTIL FERTILIZANTES LTDA;1016/25;Alexandre Sossai
22331366.05;Quando considerada individualmente, a conexão da UTE Serra ao sistema de distribuição da EDP Espírito Santo Distribuição de Energia S.A. (EDP ES) far-se-á na tensão de 138 kV, a partir do seccionamento da Linha de Distribuição Carapina – Alto Lage (circuito 1 ou 2), mediante a construção de uma subestação de seccionamento  próximo ao seccionamento, arranjo barra principal de transferência e construção de Ramal 138 kV de aproximadamente 2,96 km em cabo 336,4 MCM da subestação de seccionamento até o ACESSANTE.;SERRA;UTE SERRA;1007/25;Joao Marcus Ramos Bacalhau
15674230.75;Quando considerada individualmente, a conexão do ACESSANTE à rede da Distribuidora far-se-á na tensão de 138 kV, a partir da construção de nova entrada de linha, barra principal e transferência, na subestação Rio Quartel, e construção de um ramal 138 kV com aproximadamente 5,78 km de extensão, cabo 336,4 MCM, circuito simples, interligando a SD Rio Quartel à subestação do ACESSANTE.;CARIACICA;UTE MARCA III;1010/25;Joao Marcus Ramos Bacalhau
4258419.73;Quando considerada individualmente, a conexão da UTE Cariacica ao sistema de distribuição da EDP ES far-se-á na tensão de 138 kV, mediante a construção de 1 bay de linha na subestação de distribuição (SD) Caçaroca, aquisição de terreno, e construção de aproximadamente 0,7 km de Linha de Distribuição (LD) de 138 kV, circuito simples, cabo 1x336,4 MCM, para conectar a SD Caçaroca a subestação do ACESSANTE.;CARIACICA;UTE CARIACICA;1008/25;Joao Marcus Ramos Bacalhau
698279.58;"Derivação da Linha de Distribuição (LD) 34,5 kV Civit – Jacaraípe (C1), através da instalação de duas chaves seccionadoras e de um Religador de Linha no futuro ramal da FIBRASA;
Construção de Ramal em 34,5 kV, circuito simples, condutor 1x1/0 AWG, com temperatura de projeto de 60°C, entre o ponto de derivação e o ponto de entrega do ACESSANTE.";SERRA;FIBRASA;1005/25;Igor Moreira Dias
22947.81;Quando considerada individualmente, a conexão da PCH Cachoeira do Inferno ao sistema de distribuição da EDP ES será realizada na tensão de 69 kV, por meio do seccionamento da LD 69 kV Nova Venécia – Nova Amorés, da implantação de uma Subestação de Seccionamento e da construção de um ramal 69 kV de aproximadamente 2,9 km, de interesse restrito, interligando a Subestação de Seccionamento à Subestação do ACESSANTE.;SAO MATEUS;SANTA MARIA ENERGETICA S/A;1019/25;Igor Moreira Dias
